x,y_fit
-7.4,-4.281451387362043
-7.370340681362726,-4.249716382542899
-7.3406813627254515,-4.218056499930055
-7.311022044088177,-4.186471190036884
-7.281362725450903,-4.154959979951534
-7.251703406813627,-4.123522470959627
-7.222044088176353,-4.0921583362073495
-7.192384769539078,-4.060867318404513
-7.162725450901804,-4.029649227567252
-7.1330661322645295,-3.9985039387999235
-7.103406813627255,-3.967431390115864
-7.073747494989981,-3.9364315802966106
-7.044088176352706,-3.90550456678921
-7.014428857715432,-3.8746504636412413
-6.984769539078156,-3.843869439473181
-6.955110220440882,-3.813161715487733
-6.9254509018036075,-3.7825275635157496
-6.895791583166333,-3.751967304098392
-6.866132264529059,-3.7214813046051387
-6.836472945891784,-3.691069977387292
-6.80681362725451,-3.660733777966615
-6.777154308617234,-3.6304732032587324
-6.74749498997996,-3.6002887898309446
-6.717835671342685,-3.570181112194073
-6.688176352705411,-3.540150781128008
-6.6585170340681366,-3.5101984420405863
-6.628857715430862,-3.480324773359441
-6.599198396793588,-3.4505304849564804
-6.569539078156313,-3.420816316604641
-6.539879759519039,-3.3911830364665665
-6.510220440881763,-3.361631439614852
-6.480561122244489,-3.3321623465835395
-6.4509018036072145,-3.3027766019504727
-6.42124248496994,-3.2734750729502147
-6.391583166332666,-3.244258648117155
-6.361923847695391,-3.21512823595848
-6.332264529058117,-3.186084763656668
-6.302605210420842,-3.157129175801167
-6.272945891783568,-3.128262433148927
-6.2432865731462925,-3.0994855114134445
-6.213627254509018,-3.0707994000820027
-6.183967935871744,-3.0422051012607505
-6.154308617234469,-3.013703628547331
-6.124649298597195,-2.9852960059306914
-6.09498997995992,-2.956983266717781
-6.065330661322646,-2.928766452486793
-6.0356713426853705,-2.900646612066641
-6.006012024048097,-2.8726248005423467
-5.976352705410822,-2.844702078286008
-5.946693386773547,-2.816879510013059
-5.917034068136273,-2.7891581638634704
-5.887374749498998,-2.7615391105076066
-5.857715430861724,-2.7340234222764104
-5.828056112224449,-2.7066121723156114
-5.798396793587175,-2.6793064337636485
-5.7687374749499,-2.6521072789529954
-5.739078156312626,-2.6250157786345913
-5.709418837675351,-2.5980330012250605
-5.679759519038076,-2.5711600120764357
-5.650100200400802,-2.544397872768066
-5.620440881763527,-2.517747640420424
-5.590781563126253,-2.4912103670305084
-5.5611222444889785,-2.464787098828546
-5.531462925851704,-2.438478875655703
-5.501803607214429,-2.412286730362506
-5.472144288577155,-2.3862116882276947
-5.44248496993988,-2.360254766397193
-5.412825651302605,-2.334416973342946
-5.383166332665331,-2.3086993083412986
-5.3535070140280565,-2.2831027609706602
-5.323847695390782,-2.2576283106281605
-5.294188376753507,-2.2322769260650115
-5.264529058116233,-2.207049564940312
-5.234869739478958,-2.181947173392989
-5.205210420841684,-2.1569706856316406
-5.175551102204409,-2.1321210235419534
-5.1458917835671345,-2.1073990963114784
-5.11623246492986,-2.0828058000714424
-5.086573146292586,-2.0583420175553626
-5.056913827655311,-2.034008617774173
-5.027254509018036,-2.0098064557076105
-4.997595190380762,-1.9857363720115901
-4.967935871743487,-1.961799192741297
-4.938276553106213,-1.9379957290897587
-4.908617234468938,-1.9143267771416037
-4.878957915831664,-1.890793117641783
-4.849298597194389,-1.867395515778965
-4.819639278557115,-1.8441347209833752
-4.78997995991984,-1.821011466738813
-4.760320641282565,-1.7980264704085946
-4.730661322645291,-1.7751804330751797
-4.701002004008016,-1.7524740393932188
-4.671342685370742,-1.7299079574557967
-4.641683366733467,-1.707482838673598
-4.612024048096193,-1.6851993176667799
-4.582364729458918,-1.663058012169286
-4.552705410821644,-1.641059522945378
-4.523046092184369,-1.619204433718137
-4.493386773547094,-1.597493311109699
-4.4637274549098205,-1.5759267045929943
-4.434068136272545,-1.5545051464547417
-4.404408817635271,-1.533229151769493
-4.374749498997996,-1.5120992183844628
-4.345090180360722,-1.4911158269149416
-4.315430861723447,-1.4702794407500523
-4.285771543086172,-1.4495905060686274
-4.2561122244488985,-1.4290494518649837
-4.226452905811623,-1.4086566899843616
-4.19679358717435,-1.3884126151678335
-4.167134268537074,-1.3683176051064274
-4.1374749498998,-1.3483720205042822
-4.107815631262525,-1.3285762051505878
-4.078156312625251,-1.3089304860001236
-4.0484969939879765,-1.2894351732621587
-4.018837675350701,-1.2700905604975208
-3.989178356713427,-1.2508969247236146
-3.9595190380761527,-1.2318545265271803
-3.9298597194388782,-1.2129636101845964
-3.9002004008016034,-1.1942244037895098
-3.870541082164329,-1.1756371193875992
-3.8408817635270545,-1.1572019531182662
-3.81122244488978,-1.1389190853630542
-3.781563126252505,-1.1207886809005991
-3.7519038076152307,-1.102810889067916
-3.7222444889779562,-1.0849858439278208
-3.692585170340682,-1.0673136644423027
-3.662925851703407,-1.049794454651648
-3.6332665330661325,-1.0324283038591324
-3.603607214428858,-1.015215286821084
-3.5739478957915836,-0.9981554639421404
-3.544288577154309,-0.98124888147551
-3.5146292585170342,-0.9644955717280517
-3.48496993987976,-0.9478955532699975
-3.4553106212424853,-0.9314488311491307
-3.425651302605211,-0.9151553971092462
-3.395991983967936,-0.8990152298127154
-3.3663326653306616,-0.8830282950669782
-3.336673346693387,-0.8671945460547893
-3.3070140280561127,-0.8515139235680476
-3.277354709418838,-0.835986356245038
-3.2476953907815638,-0.8206117608109166
-3.2180360721442884,-0.8053900423212709
-3.188376753507014,-0.7903210944085932
-3.1587174348697395,-0.7754047995314978
-3.129058116232465,-0.7606410292265241
-3.0993987975951907,-0.7460296443623647
-3.069739478957916,-0.7315704953963568
-3.0400801603206418,-0.717263422633081
-3.0104208416833673,-0.703108256484913
-2.980761523046093,-0.6891048177343729
-2.9511022044088175,-0.675252917798117
-2.921442885771543,-0.6615523589924293
-2.8917835671342687,-0.6480029348000507
-2.862124248496994,-0.6346044301382118
-2.8324649298597198,-0.6213566216277148
-2.8028056112224453,-0.6082592778629219
-2.773146292585171,-0.5953121596825084
-2.7434869739478964,-0.5825150204408402
-2.713827655310621,-0.5698676062798332
-2.6841683366733466,-0.5573696564011617
-2.654509018036072,-0.5450209033386711
-2.6248496993987978,-0.5328210732308728
-2.5951903807615233,-0.5207698860933753
-2.565531062124249,-0.50886705609113
-2.5358717434869744,-0.49711229181035643
-2.5062124248497,-0.4855052965300216
-2.4765531062124255,-0.47404576849274516
-2.44689378757515,-0.4627334011750067
-2.4172344689378757,-0.4515678835565343
-2.3875751503006013,-0.44054890038874495
-2.357915831663327,-0.42967613246212794
-2.3282565130260524,-0.4189492568724437
-2.298597194388778,-0.4083679472856265
-2.2689378757515035,-0.3979318742012745
-2.239278557114229,-0.3876407052146129
-2.2096192384769537,-0.3774941052768196
